Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Position,MA_5_20_Ratio,Volume_Change_Pct,Yesterday_Return,MA_50,MA_200,Institutional_Flow,Target
2020-01-01,12182.5,12222.2001953125,12165.2998046875,12202.150390625,304100,56.33646337729996,78.48711890604318,84.67641693471242,-6.189298028669242,0.6390260782505078,1.007193145218771,-0.2876551885687515,-0.007131240742024536,11980.5769921875,11568.842026367187,-0.005247807770238255,0
2020-01-02,12282.2001953125,12289.900390625,12195.25,12198.5498046875,407700,61.605566938217514,81.22532251682605,83.98619805113515,-2.7608755343090934,0.7949380881309434,1.0087684792753984,0.3406774087471227,0.001154609211690083,11992.98400390625,11575.315776367188,1.0256710099957425,0
2020-01-03,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,57.44599364216919,78.013670584196,82.79169255774733,-4.7780219735513185,0.6748166775186588,1.007586913429755,0.05175374049546244,0.008183886337984836,12005.75001953125,11581.184028320313,0.9968724927129431,1
2020-01-06,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,43.9937225849767,55.973569814796065,77.42806800915707,-21.45449819436101,0.2317333983309894,1.002958473332894,-0.07532649253731338,-0.004522789386603554,12013.5290234375,11585.858276367188,0.9571143881389548,1
2020-01-07,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,47.39545054173048,42.84618789643537,70.51169198661273,-27.665504090177365,0.32584784703477426,1.0005788576383163,0.1293820933165195,-0.019105853072941215,12022.93603515625,11590.946025390625,0.9810164814506135,1
2020-01-08,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,46.00876874715952,29.871170274256656,62.38358764414152,-32.512417369884865,0.22205320614177027,0.9972976926729835,-0.004019651630192023,0.004994592001242859,12031.76501953125,11595.232524414063,0.9742006335932691,1
2020-01-09,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,55.655077770188626,34.565778102758486,56.82002573586492,-22.25424763310643,0.6328227496195075,0.9949542381946551,0.07062780269058289,-0.0022899444111396106,12040.34603515625,11599.806025390624,-0.010796079469996389,1
2020-01-10,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,57.41380237741148,41.11260896935892,53.67854238256372,-12.565933413204803,0.7210422870724243,0.9942851675408191,0.38345549738219886,0.015845758122611686,12048.6000390625,11604.3815234375,1.0049317536854767,1
2020-01-13,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,60.42072576876112,51.57679145493785,53.25819219703855,-1.6814007421006991,0.8783608021607695,0.9988154727175969,-0.2415985467756585,0.0033480474426501594,12057.64203125,11609.313022460938,1.0561158346675885,0
2020-01-14,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,61.73071240753537,61.799990935604,54.96655194475164,6.833438990852358,0.9180680599307475,1.0026226845512227,0.2301397205588822,0.0059354808073293075,12067.07603515625,11613.9902734375,0.05133176597631817,0
2020-01-15,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,60.48005545837941,67.58967724170543,57.4911770041424,10.09850023756303,0.8290536767562855,1.0070968714909694,0.1104981340256368,0.0026562202609821117,12075.11603515625,11618.395771484375,0.052879991957094585,0
2020-01-16,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,61.026075912987984,72.32873847805968,60.45868929892586,11.870049179133815,0.827357806607896,1.0088298679187642,-0.42182933956750435,-0.0015369308543056182,12083.88203125,11622.51126953125,0.022855394184801092,0
2020-01-17,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,60.79250169270936,74.96610585294547,63.36017260972979,11.605933243215688,0.7976959345063536,1.0100106581370045,0.2688905736669194,0.000988406301843714,12091.60802734375,11626.667768554687,0.01559131359083743,0
2020-01-20,12224.5498046875,12430.5,12216.900390625,12430.5,491600,52.08364232253518,65.983248512297,63.88478779024324,2.0984607220537583,0.5016716924830019,1.0084879089579113,-0.020912168890659277,-0.000254978804985595,12095.85802734375,11630.506015625,-0.017032252055152908,0
2020-01-21,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,48.857483620486754,53.82990312347101,61.873810856888795,-8.043907733417782,0.3832160504265604,1.005721312675132,-0.9991863303498779,-0.010346193941151438,12101.09201171875,11634.584013671874,0.9688649849375879,0
2020-01-22,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,45.374269466192004,38.67301503395356,57.233651692301756,-18.560636658348194,0.25353220947716965,1.0022935049855344,0.25,-0.004474618385662321,12104.961015625,11637.702265625,0.9616959131183502,1
2020-01-23,12180.349609375,12189.0,12094.099609375,12123.75,867700,49.865518423313695,32.21643908023907,52.23020916988922,-20.01377008965015,0.4154461252417313,0.9992053688626165,2.0,-0.005172555189302153,12111.75900390625,11641.378764648438,0.9716481905831411,0
2020-01-24,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,53.658734125584076,32.20728464692911,48.2256242652972,-16.01833961836809,0.5739183794596873,0.9974911207919344,-0.3163535784257232,0.0060667236352978104,12119.28201171875,11644.770014648437,-0.01685502963678953,0
2020-01-27,12119.0,12216.599609375,12107.0,12197.099609375,441200,46.45372524286651,21.52253647670659,42.88500670757908,-21.36247023087249,0.29096588046688543,0.9963211866319128,-0.25623735670937287,0.005574584704263197,12123.7530078125,11647.019262695312,0.9827315023663241,0
2020-01-28,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,43.386001308663126,7.864412939759859,35.880887954015236,-28.016475014255377,0.17291856915946058,0.9949119811202874,0.08454215775158658,-0.010552527912150667,12127.17900390625,11648.732260742188,-0.018743009708130254,0
2020-01-29,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,47.72163540266118,2.9531988210437703,29.295350127420942,-26.342151306377172,0.3427596836122925,0.9954985020998767,0.07502612330198533,-0.005214967844912932,12130.96701171875,11651.160009765625,0.0037333435719846264,0
2020-01-30,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,43.192704156751454,-8.40293265098262,21.75569357174023,-30.15862622272285,0.17593491343552423,0.9941329144852559,0.046073094867807196,0.006113256399948197,12131.701015625,11653.349008789062,0.9762650811638045,1
