Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Position,MA_5_20_Ratio,Volume_Change_Pct,Yesterday_Return,Target
2015-02-20,8833.599609375,8899.9501953125,8816.2998046875,8895.5,197600,60.45894929891012,75.76006045427675,66.09384279216289,9.666217662113866,0.6322604984062281,1.007831481796842,-0.07360525082044067,0.0029540986646272582,0
2015-02-23,8754.9501953125,8869.0,8736.099609375,8856.849609375,139600,54.215808497853345,68.83673528421969,66.64242129057425,2.194313993645437,0.45887228574472194,1.006716204369837,-0.2935222672064778,-0.006936269340802492,1
2015-02-24,8762.099609375,8800.5,8726.75,8772.900390625,149800,54.67400265348637,63.19833708150509,65.95360444876042,-2.7552673672553283,0.48269068915599866,1.0060605134002465,0.07306590257879653,-0.008903438863023694,1
2015-02-25,8767.25,8840.650390625,8751.400390625,8801.900390625,135200,55.02320480004458,58.47143703429174,64.45717096586668,-5.985733931574941,0.5106028586330094,1.0045582347263784,-0.09746328437917218,0.0008166139044774035,0
2015-02-26,8683.849609375,8786.0498046875,8669.4501953125,8779.0,217500,48.506314463928916,47.44866153964358,61.05546908062207,-13.606807540978487,0.3361446304834249,1.001048419491798,0.6087278106508875,0.0005878032497472763,1
2015-02-27,8844.599609375,8856.9501953125,8717.4501953125,8729.5,249500,58.6676766114055,51.095220208628234,59.0634193062233,-7.968199097595068,0.7613334324047669,1.0019166258648429,0.1471264367816092,-0.00951271956713906,1
2015-03-02,8956.75,8972.349609375,8885.4501953125,8953.849609375,218100,64.00447672594186,62.316398814429704,59.714015207864584,2.6023836065651196,0.9873101860039911,1.0056813504895687,-0.12585170340681362,0.018511375395821705,1
2015-03-03,8996.25,9008.400390625,8925.5498046875,8962.849609375,177800,65.68504271190449,73.54875927408102,62.48096402110787,11.067795252973148,0.9985855932408246,1.009884317127841,-0.1847776249426868,0.01268009809128312,0
2015-03-04,8922.650390625,9119.2001953125,8893.9501953125,9109.150390625,248400,60.05846403283522,75.6396852763828,65.11270827216286,10.526977004219944,0.810074410956515,1.0124714626708802,0.3970753655793027,0.004410081781896391,1
2015-03-05,8937.75,8957.5498046875,8849.349609375,8929.400390625,160100,60.80034635990998,77.62041169241638,67.61424895621357,10.00616273620281,0.8073756503683771,1.0170198026198665,-0.355475040257649,-0.008181143184660233,0
2015-03-09,8756.75,8891.2998046875,8740.4501953125,8891.150390625,155500,49.0413506421153,63.84895333811073,66.861189832593,-3.0122364944822664,0.4450412691103536,1.0147588868030066,-0.028732042473454067,0.0016922784950608172,0
2015-03-10,8712.0498046875,8778.0,8677.349609375,8769.75,163800,46.64219360630197,48.76589826820782,63.24213151971597,-14.476233251508148,0.34862308567045014,1.0088947612997872,0.05337620578778135,-0.02025118178512486,0
2015-03-11,8699.9501953125,8755.599609375,8682.349609375,8728.75,172800,45.98639240755132,35.427742143432624,57.67925364445931,-22.251511501026684,0.2834949332584454,1.0011616787227378,0.05494505494505497,-0.005104655872612551,1
2015-03-12,8776.0,8787.2001953125,8732.900390625,8740.650390625,173900,50.68020690015634,30.64053595643236,52.271510106853924,-21.630974150421565,0.4225582654446753,0.9966347424374995,0.0063657407407407,-0.0013888361116221049,0
2015-03-13,8647.75,8849.75,8631.75,8844.0498046875,179200,43.77203097889314,16.30992671070271,45.079193427623686,-28.769266716920974,0.08270694652914413,0.9899340458043131,0.030477285796434828,0.008741406902360804,0
2015-03-16,8633.150390625,8663.5498046875,8612.0,8656.75,163300,43.05259380125055,3.7317320898528124,36.809701160069515,-33.0779690702167,0.07818366493869763,0.9875668006358638,-0.0887276785714286,-0.014613719234275346,1
2015-03-17,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,48.66345087729875,1.0259005931493448,29.652941046685484,-28.62704045353614,0.3146905732633183,0.9882837936380453,0.08389467238211878,-0.0016882552542568652,0
2015-03-18,8685.900390625,8747.25,8664.0,8742.900390625,156400,46.61164503567953,-4.089173075557483,22.90451822223689,-26.993691297794374,0.24553823798674093,0.9886579777505633,-0.11638418079096047,0.010442238346779709,0
2015-03-19,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,43.881246337772644,-12.138428251035293,15.895928927582455,-28.034357178617746,0.1638966755716977,0.9867584235744733,0.045396419437340185,-0.004287301239194297,0
2015-03-20,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,40.68843248221298,-23.391965174829238,8.038350107100118,-31.430315281929357,0.07738852570285618,0.9868309016465141,0.06788990825688068,-0.00590036699653107,0
2015-03-23,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,39.71220037642769,-33.537705326805735,-0.27686097968105283,-33.26084434712468,0.09237961819585278,0.9865450805770652,-0.13688430698739973,-0.0073830435647072035,0
2015-03-24,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,39.30846141779801,-41.73865458389082,-8.569219700523007,-33.16943488336781,0.1226542146974189,0.9836146749347722,0.0398142003981421,-0.002333477124745964,0
2015-03-25,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,38.661537871912174,-48.65750747523634,-16.586877255465673,-32.07063021977067,0.1422485706697498,0.9813640985552056,0.02744097000638157,-0.000929749494125387,0
2015-03-26,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,30.318495291930333,-68.57271576289713,-26.984044956951966,-41.58867080594517,-0.06559334795446888,0.9770412354821614,0.7397515527950311,-0.0014222710360253243,0
2015-03-27,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,30.290509191076595,-83.45417278869718,-38.27807052330101,-45.17610226539617,0.015754663355012587,0.9736845563704373,-0.31096037129596577,-0.022113918786236364,1
2015-03-30,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,41.90910831916304,-82.12482919094691,-47.04742225683019,-35.07740693411672,0.251377344238395,0.9743108108569165,-0.30207253886010366,-8.990487642646094e-05,0
2015-03-31,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,41.84441274623117,-80.25111330805703,-53.68816046707556,-26.562952840981467,0.2712770070053946,0.9757327805480807,0.2412769116555309,0.018090417315550278,1
2015-04-01,8586.25,8603.400390625,8464.75,8483.7001953125,125500,48.15985695274315,-70.27026908860535,-57.00458219138152,-13.265686897223823,0.4307696110212959,0.9793360743028489,-0.24940191387559807,-0.0001530568535489385,1
